,品名,型号,壁厚/mm,长度/mm,支重/kg,支/件,材质,执行标准,品牌/厂家,提货地,理计,过磅,备注（可随意改动）,库存,供应商/联系方式（后台可见，每日更新价格时可选最低价供应商）,供货价/元,差价/元
管材,镀锌带圆管,2寸,1,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,2寸,1.1,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,2寸,1.2,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,2寸,1.3,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,2寸,1.4,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,2寸,1.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,2寸,1.6,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,2寸,1.7,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,2寸,1.8,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,2寸,1.9,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,2寸,2,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,2寸,2.1,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,2寸,2.2,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,2寸,2.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,2寸,2.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,2寸,3,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,2寸,3.25,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,2寸,3.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,2寸,3.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,2寸,4,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,2寸,4.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,2.5寸,0.9,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,2.5寸,1,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,2.5寸,1.1,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,2.5寸,1.2,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,2.5寸,1.3,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,2.5寸,1.4,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,2.5寸,1.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,2.5寸,1.7,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,2.5寸,1.9,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,2.5寸,2,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,3寸,0.9,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,3寸,1,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,3寸,1.1,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,3寸,1.2,6000,#REF!,,,,,,,,,,,,
管材,镀锌带圆管,3寸,1.3,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,4分,1.1,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,4分,1.2,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,4分,1.3,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,4分,1.4,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,4分,1.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,4分,1.6,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,4分,1.7,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,4分,1.8,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,4分,1.9,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,4分,2,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,4分,2.1,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,4分,2.2,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,4分,2.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,4分,2.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,4分,3,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,4分,3.25,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,4分,3.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,4分,3.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,4分,4,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,4分,4.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,4分,4.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,4分,5.25,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,4分,5.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,4分,5.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,4分,6,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,4分,6.25,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,4分,6.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,4分,6.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,4分,7,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,6分,1,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,6分,1.1,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,6分,1.2,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,6分,1.3,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,6分,1.4,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,6分,1.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,6分,1.6,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,6分,1.7,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,6分,1.8,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1寸,1,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1寸,1.1,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1寸,1.2,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1寸,1.3,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1寸,1.4,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1寸,1.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1寸,1.6,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1寸,1.7,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.2寸,1,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.2寸,1.1,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.2寸,1.2,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.2寸,1.3,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.2寸,1.4,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.2寸,1.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.2寸,1.6,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.5寸,1,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.5寸,1.1,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.5寸,1.2,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.5寸,1.3,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.5寸,1.4,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.5寸,1.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.5寸,1.6,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.5寸,1.7,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2寸,1,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2寸,1.1,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2寸,1.2,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2寸,1.3,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2寸,1.4,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2寸,1.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2寸,1.6,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2.5寸,1,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2.5寸,1.1,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2.5寸,1.2,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2.5寸,1.3,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2.5寸,1.4,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2.5寸,1.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2.5寸,1.6,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2.5寸,1.7,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2.5寸,1.8,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,3寸,1,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,3寸,1.1,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,3寸,1.2,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,3寸,1.3,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,3寸,1.4,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,3寸,1.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,3寸,1.6,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,3寸,1.7,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,4寸,1,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,4寸,1.1,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,4寸,1.2,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,4寸,1.3,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,4寸,1.4,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,4寸,1.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,4寸,1.6,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,5寸,1,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,5寸,1.1,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,5寸,1.2,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,5寸,1.3,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,5寸,1.4,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,5寸,1.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,5寸,1.6,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,5寸,1.7,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,5寸,1.8,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,6寸,1,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,6寸,1.1,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,6寸,1.2,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,6寸,1.3,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,6寸,1.4,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,6寸,1.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,6寸,1.6,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,6寸,1.7,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,6寸,1.8,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,6寸,1.9,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,8寸,1,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,8寸,1.1,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,8寸,1.2,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,8寸,1.3,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,8寸,1.4,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,8寸,1.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,8寸,1.6,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,8寸,1.7,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,8寸,1.8,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,8寸,1.9,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,8寸,2,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,8寸,2.1,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,8寸,2.2,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,8寸,2.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,8寸,2.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,8寸,3.25,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,8寸,3.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,8寸,4,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,8寸,4.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,8寸,4.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,8寸,5.25,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,8寸,5.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,8寸,5.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,8寸,6,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,8寸,6.25,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,8寸,6.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,8寸,6.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,8寸,7,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,8寸,7.25,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,8寸,7.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,10寸,1,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,10寸,1.1,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,10寸,1.2,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,10寸,1.3,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,10寸,1.4,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,10寸,1.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,10寸,1.6,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,10寸,1.7,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,10寸,1.8,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,10寸,1.9,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,10寸,2,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,10寸,2.1,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,10寸,2.2,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,10寸,2.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,10寸,2.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,10寸,3,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,10寸,3.25,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,10寸,3.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,10寸,3.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,10寸,4,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,10寸,4.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,10寸,4.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,10寸,5.25,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,10寸,5.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,10寸,5.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,10寸,6,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,10寸,6.25,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,10寸,6.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,10寸,6.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,10寸,7,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,12寸,1,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,12寸,1.1,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,12寸,1.2,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,12寸,1.3,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,12寸,1.4,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,12寸,1.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,12寸,1.6,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,12寸,1.7,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,12寸,1.8,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,12寸,1.9,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,12寸,2,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,12寸,2.1,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,12寸,2.2,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,12寸,2.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,12寸,2.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,12寸,3,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,12寸,3.25,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,12寸,3.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,12寸,3.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,12寸,4,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,12寸,4.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,12寸,4.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,12寸,5.25,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,12寸,5.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,12寸,5.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,12寸,6,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,12寸,6.25,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,12寸,6.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,12寸,6.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,12寸,7,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.2寸,1.7,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.2寸,1.8,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.2寸,1.9,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.2寸,2,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.2寸,2.1,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.2寸,2.2,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.2寸,2.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.2寸,2.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.2寸,3,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.2寸,3.25,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.2寸,3.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.2寸,3.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.2寸,4,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.2寸,4.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.2寸,4.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.2寸,5.25,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.2寸,5.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.2寸,5.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.2寸,6,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.2寸,6.25,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.2寸,6.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.2寸,6.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.2寸,7,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,6分,1.9,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,6分,2,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,6分,2.1,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,6分,2.2,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,6分,2.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,6分,2.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,6分,3,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,6分,3.25,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,6分,3.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,6分,3.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,6分,4,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,6分,4.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,6分,4.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,6分,5.25,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,6分,5.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,6分,5.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,6分,6,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,6分,6.25,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,6分,6.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,6分,6.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,6分,7,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1寸,1.8,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1寸,1.9,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1寸,2,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1寸,2.1,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1寸,2.2,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1寸,2.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1寸,2.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1寸,3,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1寸,3.25,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1寸,3.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1寸,3.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1寸,4,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1寸,4.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1寸,4.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1寸,5.25,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1寸,5.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1寸,5.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1寸,6,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1寸,6.25,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1寸,6.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1寸,6.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1寸,7,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.5寸,1.8,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.5寸,1.9,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.5寸,2,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.5寸,2.1,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.5寸,2.2,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.5寸,2.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.5寸,2.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.5寸,3,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.5寸,3.25,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.5寸,3.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.5寸,3.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.5寸,4,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.5寸,4.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.5寸,4.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.5寸,5.25,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.5寸,5.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.5寸,5.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.5寸,6,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.5寸,6.25,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.5寸,6.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.5寸,6.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,1.5寸,7,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2寸,1.7,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2寸,1.8,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2寸,1.9,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2寸,2,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2寸,2.1,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2寸,2.2,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2寸,2.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2寸,2.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2寸,3,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2寸,3.25,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2寸,3.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2寸,3.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2寸,4,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2寸,4.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2寸,4.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2寸,5.25,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2寸,5.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2寸,5.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2寸,6,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2寸,6.25,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2寸,6.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2寸,6.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2寸,7,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2.5寸,1.9,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2.5寸,2,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2.5寸,2.1,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2.5寸,2.2,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2.5寸,2.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2.5寸,2.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2.5寸,3,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2.5寸,3.25,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2.5寸,3.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2.5寸,3.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2.5寸,4,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2.5寸,4.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2.5寸,4.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2.5寸,5.25,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2.5寸,5.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2.5寸,5.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2.5寸,6,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2.5寸,6.25,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2.5寸,6.5,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2.5寸,6.75,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,2.5寸,7,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,3寸,1.8,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,3寸,1.9,6000,#REF!,,,,,,,,,,,,
管材,镀锌管,3寸,2,6000,#REF!,,,,,,,,,,,,
